result_id,experiment_id,transcript_id,model_name,technique_name,recipe_name,json_valid,status
1,1,1,Llama 3.2 3B Instruct,zero-shot,,true,completed
2,2,2,Llama 3.2 3B Instruct,zero-shot,Sardin Pasta,true,completed
3,3,3,Llama 3.2 3B Instruct,zero-shot,One Pot Chicken with Rice,true,completed
4,4,4,Llama 3.2 3B Instruct,zero-shot,,true,completed
5,5,5,Llama 3.2 3B Instruct,zero-shot,HSP Halal Starter Pack,true,completed
6,6,6,Llama 3.2 3B Instruct,zero-shot,,true,completed
7,7,7,Llama 3.2 3B Instruct,zero-shot,,true,completed
8,8,8,Llama 3.2 3B Instruct,zero-shot,,true,completed
9,9,9,Llama 3.2 3B Instruct,zero-shot,,true,completed
10,10,10,Llama 3.2 3B Instruct,zero-shot,,true,completed
11,11,11,Llama 3.2 3B Instruct,zero-shot,Loaded Beef Nachos,true,completed
12,12,12,Llama 3.2 3B Instruct,zero-shot,,true,completed
13,13,13,Llama 3.2 3B Instruct,zero-shot,Beef Bulgogi Cheese Steak,true,completed
14,14,14,Llama 3.2 3B Instruct,zero-shot,,true,completed
15,15,15,Llama 3.2 3B Instruct,zero-shot,,true,completed
16,16,16,Llama 3.2 3B Instruct,zero-shot,,true,completed
17,17,17,Llama 3.2 3B Instruct,zero-shot,Creamy Chicken Alfredo Pasta,true,completed
18,18,18,Llama 3.2 3B Instruct,zero-shot,,true,completed
19,19,19,Llama 3.2 3B Instruct,zero-shot,Korean Fried Chicken,true,completed
20,20,20,Llama 3.2 3B Instruct,zero-shot,,true,completed
21,21,21,Llama 3.2 3B Instruct,zero-shot,Mee Sedap Creamy Chili Oil,true,completed
22,22,22,Llama 3.2 3B Instruct,zero-shot,Daging Shabu-Shabu with Instant Noodles and Vegetables,true,completed
23,23,23,Llama 3.2 3B Instruct,zero-shot,Cheesy Beef Taquito,true,completed
24,24,24,Llama 3.2 3B Instruct,zero-shot,Ayam Bakar Madu,true,completed
25,25,25,Llama 3.2 3B Instruct,zero-shot,,true,completed
26,26,26,Llama 3.2 3B Instruct,zero-shot,,true,completed
27,27,27,Llama 3.2 3B Instruct,zero-shot,Bubur Oat,true,completed
28,28,28,Llama 3.2 3B Instruct,zero-shot,,true,completed
29,29,29,Llama 3.2 3B Instruct,zero-shot,,true,completed
30,30,30,Llama 3.2 3B Instruct,zero-shot,Strawberry Sando,true,completed
31,31,31,Llama 3.2 3B Instruct,zero-shot,Chili Cheese Fries,true,completed
32,32,32,Llama 3.2 3B Instruct,zero-shot,,true,completed
33,33,33,Llama 3.2 3B Instruct,zero-shot,Energy Biskut,true,completed
34,34,34,Llama 3.2 3B Instruct,zero-shot,,true,completed
35,35,35,Llama 3.2 3B Instruct,zero-shot,,true,completed
36,36,36,Llama 3.2 3B Instruct,zero-shot,,true,completed
37,37,37,Llama 3.2 3B Instruct,zero-shot,spicy peanut butter noodles pedas,true,completed
38,38,38,Llama 3.2 3B Instruct,zero-shot,,true,completed
39,39,39,Llama 3.2 3B Instruct,zero-shot,nasi goreng cerdik,true,completed
40,40,40,Llama 3.2 3B Instruct,zero-shot,Chicken Palm Sandwich,true,completed
41,41,41,Llama 3.2 3B Instruct,zero-shot,,true,completed
42,43,43,Llama 3.2 3B Instruct,zero-shot,,true,completed
43,44,44,Llama 3.2 3B Instruct,zero-shot,Beef Stir Fry,true,completed
44,46,46,Llama 3.2 3B Instruct,zero-shot,,true,completed
45,48,48,Llama 3.2 3B Instruct,zero-shot,,true,completed
46,49,49,Llama 3.2 3B Instruct,zero-shot,,true,completed
47,50,50,Llama 3.2 3B Instruct,zero-shot,,true,completed
48,51,1,Llama 3.2 3B Instruct,few-shot,Ayam Halia,true,completed
49,52,2,Llama 3.2 3B Instruct,few-shot,Sardin Pasta,true,completed
50,53,3,Llama 3.2 3B Instruct,few-shot,One Pot Chicken with Rice,true,completed
51,54,4,Llama 3.2 3B Instruct,few-shot,Potato Salad,true,completed
