model_name,technique_name,rag_enabled,total_runs,valid_count,invalid_count,validity_rate_pct
Gemma-SEA-LION v4 4B,chain-of-thought,false,47,47,0,100.00
Gemma-SEA-LION v4 4B,few-shot,false,47,47,0,100.00
Gemma-SEA-LION v4 4B,structured-output,false,47,47,0,100.00
Gemma-SEA-LION v4 4B,zero-shot,false,47,47,0,100.00
Llama 3.2 3B Instruct,chain-of-thought,false,47,44,3,93.62
Llama 3.2 3B Instruct,few-shot,false,47,47,0,100.00
Llama 3.2 3B Instruct,structured-output,false,47,47,0,100.00
Llama 3.2 3B Instruct,zero-shot,false,47,47,0,100.00
MedGemma 4B,chain-of-thought,false,47,47,0,100.00
MedGemma 4B,few-shot,false,47,47,0,100.00
MedGemma 4B,structured-output,false,47,47,0,100.00
MedGemma 4B,zero-shot,false,47,47,0,100.00
Phi-4-mini 3.8B Instruct,chain-of-thought,false,47,0,47,0.00
Phi-4-mini 3.8B Instruct,few-shot,false,47,0,47,0.00
Phi-4-mini 3.8B Instruct,structured-output,false,47,0,47,0.00
Phi-4-mini 3.8B Instruct,zero-shot,false,63,3,60,4.76
Qwen 2.5 3B Instruct,chain-of-thought,false,47,46,1,97.87
Qwen 2.5 3B Instruct,few-shot,false,47,47,0,100.00
Qwen 2.5 3B Instruct,structured-output,false,47,46,1,97.87
Qwen 2.5 3B Instruct,zero-shot,false,47,47,0,100.00
