experiment_id,transcript_id,model_name,technique_name,rag_enabled,calories,protein_g,total_fat_g,total_carbohydrate_g,sodium_mg,total_sugars_g,calcium_mg,iron_mg,potassium_mg
2,2,Llama 3.2 3B Instruct,zero-shot,false,100.0,20.0,4.0,0.0,200.0,0.0,50.0,1.5,200.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,160.0,8.0,2.0,30.0,10.0,6.0,100.0,1.5,200.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,100.0,1.5,11.0,5.0,50.0,2.0,50.0,1.0,100.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,10.0,0.5,0.5,2.0,1.0,0.5,0.0,0.1,10.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,10.0,0.5,0.5,2.0,1.0,0.5,0.0,0.1,100.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,0.0,4.0,0.0,40.0,350.0,10.0,200.0,3.0,400.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,0.0,1.0,0.0,5.0,200.0,2.0,50.0,2.0,100.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.5,0.0,2.0,100.0,1.0,20.0,1.0,50.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,0.0,1.0,0.0,2.0,200.0,1.0,10.0,2.0,50.0
5,5,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,18000.0,300.0,360.0,90000.0,12000.0,4500.0,2000.0,50.0,40000.0
10,10,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,60.0,3.0,0.5,8.0,200.0,4.0,100.0,2.0,400.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,120.0,6.0,7.0,16.0,300.0,8.0,200.0,4.0,800.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,45.0,0.5,3.75,10.0,250.0,5.0,50.0,1.0,300.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,22.5,0.25,1.875,6.0,125.0,3.0,25.0,0.5,225.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,50.0,25.0,1.5,0.0,20.0,0.0,5.0,1.5,50.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,80.0,5.0,6.5,0.0,30.0,0.0,8.0,1.2,40.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,60.0,3.0,2.5,12.0,10.0,4.0,1.5,0.8,30.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,10.0
14,14,Llama 3.2 3B Instruct,zero-shot,false,56.8,1.9,3.4,10.5,350.0,4.3,20.0,0.6,400.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,50.0,12.0,3.5,4.0,350.0,1.0,10.0,1.0,100.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,20.0,5.0,1.5,2.0,200.0,0.0,5.0,0.5,50.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,10.0,3.0,1.0,2.0,100.0,1.0,5.0,0.25,20.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,5.0,2.0,1.0,1.0,50.0,1.0,3.0,0.125,10.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,20.0,5.0,0.5,2.0,50.0,1.0,10.0,1.0,50.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,200.0,30.0,20.0,0.0,400.0,0.0,100.0,5.0,500.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,10.0,1.0,0.0,2.0,1.0,1.0,10.0,1.0,100.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,400.0,12.0,20.0,60.0,500.0,20.0,200.0,2.0,600.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,100.0,3.0,5.0,10.0,200.0,4.0,100.0,1.0,200.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,50.0,1.5,2.5,5.0,100.0,2.0,50.0,0.5,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,50.0,5.0,1.5,9.0,200.0,1.0,10.0,0.5,50.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,100.0,10.0,2.5,12.0,300.0,2.0,15.0,1.0,75.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,25.0,2.0,0.5,4.0,100.0,0.5,5.0,0.25,25.0
