experiment_id,transcript_id,model_name,technique_name,rag_enabled,quantity_value,estimated_weight_g
2,2,Llama 3.2 3B Instruct,zero-shot,false,3.0,120.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,80.0,80.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,30.0,30.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,2.0,10.0
2,2,Llama 3.2 3B Instruct,zero-shot,false,1.0,20.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,1.0,200.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,2.0,30.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,2.0,10.0
5,5,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,2.0,2000.0
10,10,Llama 3.2 3B Instruct,zero-shot,false,1.0,0.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,1.0,120.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,1.0,0.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,2.0,240.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,0.5,7.5
13,13,Llama 3.2 3B Instruct,zero-shot,false,100.0,100.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,20.0,20.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,30.0,30.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,2.0,10.0
14,14,Llama 3.2 3B Instruct,zero-shot,false,200.0,0.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,200.0,200.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,120.0,120.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,0.5,30.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,0.2,15.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,100.0,100.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,1.0,300.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,3.0,15.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,50.0,0.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,2.0,200.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0
21,21,Llama 3.2 3B Instruct,zero-shot,false,0.5,30.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,200.0,200.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,50.0,50.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,100.0,100.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,250.0,250.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,1.0,100.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,3.0,10.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,1.0,100.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,4.0,1200.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,1.0,35.27
27,27,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,300.0,300.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,2.0,14.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,1.0,100.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,100.0,100.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,300.0,150.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,200.0,100.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,50.0,20.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,20.0,10.0
32,32,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,20.0,100.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,10.0,50.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,3.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,4.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,10.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,4.0,0.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,2.0,0.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,1.0,0.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,2.0,200.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,2.0,200.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,2.0,200.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,500.0,500.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,2.0,30.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
44,44,Llama 3.2 3B Instruct,zero-shot,false,200.0,250.0
44,44,Llama 3.2 3B Instruct,zero-shot,false,3.0,15.0
44,44,Llama 3.2 3B Instruct,zero-shot,false,2.0,10.0
44,44,Llama 3.2 3B Instruct,zero-shot,false,2.0,10.0
44,44,Llama 3.2 3B Instruct,zero-shot,false,2.0,50.0
51,1,Llama 3.2 3B Instruct,few-shot,false,1.0,500.0
51,1,Llama 3.2 3B Instruct,few-shot,false,3.0,20.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,120.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,120.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
52,2,Llama 3.2 3B Instruct,few-shot,false,2.0,20.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
52,2,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
53,3,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
53,3,Llama 3.2 3B Instruct,few-shot,false,1.0,150.0
53,3,Llama 3.2 3B Instruct,few-shot,false,2.0,28.0
53,3,Llama 3.2 3B Instruct,few-shot,false,3.0,10.0
53,3,Llama 3.2 3B Instruct,few-shot,false,2.0,10.0
53,3,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
54,4,Llama 3.2 3B Instruct,few-shot,false,4.0,100.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,5.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,5.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,5.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,5.0
54,4,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
54,4,Llama 3.2 3B Instruct,few-shot,false,2.0,200.0
56,6,Llama 3.2 3B Instruct,few-shot,false,3.0,300.0
56,6,Llama 3.2 3B Instruct,few-shot,false,2.0,10.0
56,6,Llama 3.2 3B Instruct,few-shot,false,1.0,5.0
57,7,Llama 3.2 3B Instruct,few-shot,false,1.0,250.0
57,7,Llama 3.2 3B Instruct,few-shot,false,2.0,6.0
57,7,Llama 3.2 3B Instruct,few-shot,false,1.0,15.0
57,7,Llama 3.2 3B Instruct,few-shot,false,2.0,30.0
57,7,Llama 3.2 3B Instruct,few-shot,false,1.0,80.0
58,8,Llama 3.2 3B Instruct,few-shot,false,500.0,1000.0
58,8,Llama 3.2 3B Instruct,few-shot,false,1.0,250.0
58,8,Llama 3.2 3B Instruct,few-shot,false,1.0,150.0
58,8,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
58,8,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,200.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,0.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
59,9,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
60,10,Llama 3.2 3B Instruct,few-shot,false,1.0,120.0
60,10,Llama 3.2 3B Instruct,few-shot,false,0.5,60.0
60,10,Llama 3.2 3B Instruct,few-shot,false,2.0,50.0
60,10,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
60,10,Llama 3.2 3B Instruct,few-shot,false,1.0,14.0
60,10,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
62,12,Llama 3.2 3B Instruct,few-shot,false,1.0,500.0
62,12,Llama 3.2 3B Instruct,few-shot,false,1.0,14.0
62,12,Llama 3.2 3B Instruct,few-shot,false,1.0,150.0
62,12,Llama 3.2 3B Instruct,few-shot,false,1.0,80.0
62,12,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
62,12,Llama 3.2 3B Instruct,few-shot,false,3.0,20.0
62,12,Llama 3.2 3B Instruct,few-shot,false,200.0,500.0
62,12,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
63,13,Llama 3.2 3B Instruct,few-shot,false,100.0,300.0
63,13,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
63,13,Llama 3.2 3B Instruct,few-shot,false,1.0,14.0
63,13,Llama 3.2 3B Instruct,few-shot,false,3.0,10.0
63,13,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
63,13,Llama 3.2 3B Instruct,few-shot,false,4.0,200.0
64,14,Llama 3.2 3B Instruct,few-shot,false,2.0,250.0
64,14,Llama 3.2 3B Instruct,few-shot,false,3.0,100.0
64,14,Llama 3.2 3B Instruct,few-shot,false,3.0,20.0
64,14,Llama 3.2 3B Instruct,few-shot,false,2.0,20.0
64,14,Llama 3.2 3B Instruct,few-shot,false,2.0,35.0
64,14,Llama 3.2 3B Instruct,few-shot,false,1.0,10.0
64,14,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
64,14,Llama 3.2 3B Instruct,few-shot,false,1.0,500.0
66,16,Llama 3.2 3B Instruct,few-shot,false,1.0,500.0
66,16,Llama 3.2 3B Instruct,few-shot,false,2.0,28.0
66,16,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
66,16,Llama 3.2 3B Instruct,few-shot,false,2.0,20.0
66,16,Llama 3.2 3B Instruct,few-shot,false,1.0,20.0
66,16,Llama 3.2 3B Instruct,few-shot,false,1.0,50.0
67,17,Llama 3.2 3B Instruct,few-shot,false,1.0,150.0
67,17,Llama 3.2 3B Instruct,few-shot,false,3.0,42.0
67,17,Llama 3.2 3B Instruct,few-shot,false,1.0,100.0
67,17,Llama 3.2 3B Instruct,few-shot,false,100.0,20.0
67,17,Llama 3.2 3B Instruct,few-shot,false,20.0,100.0
67,17,Llama 3.2 3B Instruct,few-shot,false,3.0,6.0
