experiment_id,transcript_id,model_name,technique_name,rag_enabled,predicted_ingredient_count,non_hallucinated_count,hallucinated_count
1,1,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
2,2,Llama 3.2 3B Instruct,zero-shot,0,5,4,1
3,3,Llama 3.2 3B Instruct,zero-shot,0,4,0,4
4,4,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
5,5,Llama 3.2 3B Instruct,zero-shot,0,1,0,1
6,6,Llama 3.2 3B Instruct,zero-shot,0,1,0,1
7,7,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
8,8,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
9,9,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
10,10,Llama 3.2 3B Instruct,zero-shot,0,1,1,0
11,11,Llama 3.2 3B Instruct,zero-shot,0,5,0,5
12,12,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
13,13,Llama 3.2 3B Instruct,zero-shot,0,4,0,4
14,14,Llama 3.2 3B Instruct,zero-shot,0,1,0,1
15,15,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
16,16,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
17,17,Llama 3.2 3B Instruct,zero-shot,0,5,0,5
18,18,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
19,19,Llama 3.2 3B Instruct,zero-shot,0,3,0,3
20,20,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
21,21,Llama 3.2 3B Instruct,zero-shot,0,3,0,3
22,22,Llama 3.2 3B Instruct,zero-shot,0,4,4,0
23,23,Llama 3.2 3B Instruct,zero-shot,0,5,2,3
24,24,Llama 3.2 3B Instruct,zero-shot,0,2,2,0
25,25,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
26,26,Llama 3.2 3B Instruct,zero-shot,0,1,0,1
27,27,Llama 3.2 3B Instruct,zero-shot,0,3,1,2
28,28,Llama 3.2 3B Instruct,zero-shot,0,3,3,0
29,29,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
30,30,Llama 3.2 3B Instruct,zero-shot,0,1,0,1
31,31,Llama 3.2 3B Instruct,zero-shot,0,4,3,1
32,32,Llama 3.2 3B Instruct,zero-shot,0,1,0,1
33,33,Llama 3.2 3B Instruct,zero-shot,0,4,3,1
34,34,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
35,35,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
36,36,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
37,37,Llama 3.2 3B Instruct,zero-shot,0,7,1,6
38,38,Llama 3.2 3B Instruct,zero-shot,0,8,6,2
39,39,Llama 3.2 3B Instruct,zero-shot,0,3,3,0
40,40,Llama 3.2 3B Instruct,zero-shot,0,4,2,2
41,41,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
43,43,Llama 3.2 3B Instruct,zero-shot,0,3,2,1
44,44,Llama 3.2 3B Instruct,zero-shot,0,5,5,0
46,46,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
48,48,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
49,49,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
50,50,Llama 3.2 3B Instruct,zero-shot,0,0,0,0
51,1,Llama 3.2 3B Instruct,few-shot,0,2,2,0
52,2,Llama 3.2 3B Instruct,few-shot,0,9,6,3
53,3,Llama 3.2 3B Instruct,few-shot,0,6,6,0
54,4,Llama 3.2 3B Instruct,few-shot,0,10,9,1
55,5,Llama 3.2 3B Instruct,few-shot,0,0,0,0
56,6,Llama 3.2 3B Instruct,few-shot,0,3,3,0
57,7,Llama 3.2 3B Instruct,few-shot,0,5,3,2
58,8,Llama 3.2 3B Instruct,few-shot,0,5,4,1
59,9,Llama 3.2 3B Instruct,few-shot,0,7,6,1
60,10,Llama 3.2 3B Instruct,few-shot,0,6,3,3
61,11,Llama 3.2 3B Instruct,few-shot,0,0,0,0
62,12,Llama 3.2 3B Instruct,few-shot,0,8,7,1
63,13,Llama 3.2 3B Instruct,few-shot,0,6,0,6
64,14,Llama 3.2 3B Instruct,few-shot,0,8,1,7
65,15,Llama 3.2 3B Instruct,few-shot,0,0,0,0
66,16,Llama 3.2 3B Instruct,few-shot,0,6,2,4
67,17,Llama 3.2 3B Instruct,few-shot,0,7,3,4
68,18,Llama 3.2 3B Instruct,few-shot,0,0,0,0
69,19,Llama 3.2 3B Instruct,few-shot,0,5,0,5
70,20,Llama 3.2 3B Instruct,few-shot,0,3,0,3
71,21,Llama 3.2 3B Instruct,few-shot,0,8,5,3
72,22,Llama 3.2 3B Instruct,few-shot,0,8,5,3
73,23,Llama 3.2 3B Instruct,few-shot,0,0,0,0
74,24,Llama 3.2 3B Instruct,few-shot,0,4,2,2
75,25,Llama 3.2 3B Instruct,few-shot,0,6,1,5
76,26,Llama 3.2 3B Instruct,few-shot,0,4,1,3
77,27,Llama 3.2 3B Instruct,few-shot,0,4,1,3
78,28,Llama 3.2 3B Instruct,few-shot,0,4,0,4
79,29,Llama 3.2 3B Instruct,few-shot,0,6,1,5
80,30,Llama 3.2 3B Instruct,few-shot,0,6,3,3
81,31,Llama 3.2 3B Instruct,few-shot,0,4,4,0
82,32,Llama 3.2 3B Instruct,few-shot,0,0,0,0
83,33,Llama 3.2 3B Instruct,few-shot,0,4,3,1
84,34,Llama 3.2 3B Instruct,few-shot,0,3,2,1
85,35,Llama 3.2 3B Instruct,few-shot,0,2,1,1
86,36,Llama 3.2 3B Instruct,few-shot,0,0,0,0
87,37,Llama 3.2 3B Instruct,few-shot,0,0,0,0
88,38,Llama 3.2 3B Instruct,few-shot,0,4,1,3
89,39,Llama 3.2 3B Instruct,few-shot,0,7,6,1
90,40,Llama 3.2 3B Instruct,few-shot,0,3,2,1
91,41,Llama 3.2 3B Instruct,few-shot,0,11,9,2
93,43,Llama 3.2 3B Instruct,few-shot,0,6,5,1
94,44,Llama 3.2 3B Instruct,few-shot,0,9,7,2
96,46,Llama 3.2 3B Instruct,few-shot,0,3,3,0
98,48,Llama 3.2 3B Instruct,few-shot,0,5,4,1
99,49,Llama 3.2 3B Instruct,few-shot,0,0,0,0
100,50,Llama 3.2 3B Instruct,few-shot,0,0,0,0
101,1,Llama 3.2 3B Instruct,chain-of-thought,0,5,3,2
102,2,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
103,3,Llama 3.2 3B Instruct,chain-of-thought,0,12,7,5
104,4,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
105,5,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
106,6,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
107,7,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
108,8,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
109,9,Llama 3.2 3B Instruct,chain-of-thought,0,5,2,3
110,10,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
111,11,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
112,12,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
113,13,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
114,14,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
115,15,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
116,16,Llama 3.2 3B Instruct,chain-of-thought,0,7,2,5
117,17,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
118,18,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
119,19,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
120,20,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
121,21,Llama 3.2 3B Instruct,chain-of-thought,0,8,6,2
122,22,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
123,23,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
124,24,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
125,25,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
126,26,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
127,27,Llama 3.2 3B Instruct,chain-of-thought,0,4,1,3
128,28,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
129,29,Llama 3.2 3B Instruct,chain-of-thought,0,5,1,4
130,30,Llama 3.2 3B Instruct,chain-of-thought,0,4,3,1
131,31,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
132,32,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
133,33,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
134,34,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
135,35,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
136,36,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
137,37,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
138,38,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
139,39,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
140,40,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
141,41,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
143,43,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
144,44,Llama 3.2 3B Instruct,chain-of-thought,0,8,5,3
146,46,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
148,48,Llama 3.2 3B Instruct,chain-of-thought,0,5,2,3
149,49,Llama 3.2 3B Instruct,chain-of-thought,0,0,0,0
150,50,Llama 3.2 3B Instruct,chain-of-thought,0,8,7,1
151,1,Llama 3.2 3B Instruct,structured-output,0,0,0,0
