experiment_id,transcript_id,model_name,technique_name,rag_enabled,name_original,name_en,is_hallucinated
2,2,Llama 3.2 3B Instruct,zero-shot,0,Sardin,Sardines,1
2,2,Llama 3.2 3B Instruct,zero-shot,0,Pasta,Pasta,0
2,2,Llama 3.2 3B Instruct,zero-shot,0,Cream,Cream,0
2,2,Llama 3.2 3B Instruct,zero-shot,0,Bawang,Garlic,0
2,2,Llama 3.2 3B Instruct,zero-shot,0,Parsley,Parsley,0
3,3,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
3,3,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
3,3,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
3,3,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
5,5,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
6,6,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
10,10,Llama 3.2 3B Instruct,zero-shot,0,Gimari,-,0
11,11,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
11,11,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
11,11,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
11,11,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
11,11,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
13,13,Llama 3.2 3B Instruct,zero-shot,0,-,Beef,1
13,13,Llama 3.2 3B Instruct,zero-shot,0,-,Cheese,1
13,13,Llama 3.2 3B Instruct,zero-shot,0,-,Bread,1
13,13,Llama 3.2 3B Instruct,zero-shot,0,-,Black Pepper,1
14,14,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
17,17,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
17,17,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
17,17,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
17,17,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
17,17,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
19,19,Llama 3.2 3B Instruct,zero-shot,0,chicken thigh,Chicken Thigh,1
19,19,Llama 3.2 3B Instruct,zero-shot,0,bawang putih,Garlic,1
19,19,Llama 3.2 3B Instruct,zero-shot,0,air,-,1
21,21,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
21,21,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
21,21,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
22,22,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
22,22,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
22,22,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
22,22,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
23,23,Llama 3.2 3B Instruct,zero-shot,0,-,Beef,1
23,23,Llama 3.2 3B Instruct,zero-shot,0,-,Onion,1
23,23,Llama 3.2 3B Instruct,zero-shot,0,-,Garlic,0
23,23,Llama 3.2 3B Instruct,zero-shot,0,-,Black Pepper,0
23,23,Llama 3.2 3B Instruct,zero-shot,0,-,Cheese Dale Burger,1
24,24,Llama 3.2 3B Instruct,zero-shot,0,Ayam Bagian Kepak,Chicken Thighs,0
24,24,Llama 3.2 3B Instruct,zero-shot,0,Rempah Ayam Madu Emasauce,Chicken Marinade Sauce,0
26,26,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
27,27,Llama 3.2 3B Instruct,zero-shot,0,Quaker Rolled Oats,Quaker Rolled Oats,0
27,27,Llama 3.2 3B Instruct,zero-shot,0,Chicken Powder,Chicken Powder,1
27,27,Llama 3.2 3B Instruct,zero-shot,0,Kicap Manis,Soy Sauce,1
28,28,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
28,28,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
28,28,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
30,30,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
31,31,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
31,31,Llama 3.2 3B Instruct,zero-shot,0,-,Minced Beef,0
31,31,Llama 3.2 3B Instruct,zero-shot,0,-,Cheese Sauce,0
31,31,Llama 3.2 3B Instruct,zero-shot,0,-,Mayonnaise,0
32,32,Llama 3.2 3B Instruct,zero-shot,0,-,-,1
33,33,Llama 3.2 3B Instruct,zero-shot,0,Julie's Cheese Cracker,Julie's Cheese Cracker,1
33,33,Llama 3.2 3B Instruct,zero-shot,0,Hazelnut Spread,Hazelnut Spread,0
33,33,Llama 3.2 3B Instruct,zero-shot,0,Pisang,Banana,0
33,33,Llama 3.2 3B Instruct,zero-shot,0,Madu,Honey,0
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,peanut butter,0
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,kicap masin,1
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,kicap manis,1
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,madu,1
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,bawang putih,1
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,halia,1
37,37,Llama 3.2 3B Instruct,zero-shot,0,-,cili flakes,1
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,bawang holland,1
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,olive oil,0
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,garlic powder,0
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,paprika,0
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,butter,0
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,parmesan cheese,0
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,grilled chicken,0
38,38,Llama 3.2 3B Instruct,zero-shot,0,-,cili oil,1
39,39,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
39,39,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
39,39,Llama 3.2 3B Instruct,zero-shot,0,-,-,0
40,40,Llama 3.2 3B Instruct,zero-shot,0,-,Chicken Breast,0
40,40,Llama 3.2 3B Instruct,zero-shot,0,-,Palm Oil,1
40,40,Llama 3.2 3B Instruct,zero-shot,0,-,Bread Crumbs,1
40,40,Llama 3.2 3B Instruct,zero-shot,0,-,Cheese,0
43,43,Llama 3.2 3B Instruct,zero-shot,0,-,beef brisket,1
43,43,Llama 3.2 3B Instruct,zero-shot,0,-,olive oil,0
43,43,Llama 3.2 3B Instruct,zero-shot,0,-,tomato paste,0
44,44,Llama 3.2 3B Instruct,zero-shot,0,Daging sapi,Beef,0
44,44,Llama 3.2 3B Instruct,zero-shot,0,Bawang putih,Garlic,0
44,44,Llama 3.2 3B Instruct,zero-shot,0,Halia,Ginger,0
44,44,Llama 3.2 3B Instruct,zero-shot,0,Cili padi,Red pepper,0
44,44,Llama 3.2 3B Instruct,zero-shot,0,Kicap masin,Soy sauce,0
51,1,Llama 3.2 3B Instruct,few-shot,0,ayam,chicken thigh/ breast,0
51,1,Llama 3.2 3B Instruct,few-shot,0,halia,garlic,0
52,2,Llama 3.2 3B Instruct,few-shot,0,sardin,sardine,0
52,2,Llama 3.2 3B Instruct,few-shot,0,mee goreng ayam,mee goreng chicken,1
52,2,Llama 3.2 3B Instruct,few-shot,0,bawang holland,onion,0
52,2,Llama 3.2 3B Instruct,few-shot,0,bawang putih,garlic,0
52,2,Llama 3.2 3B Instruct,few-shot,0,cili sardin,sardine pepper,1
52,2,Llama 3.2 3B Instruct,few-shot,0,cili padi hijau,green chili pepper,1
52,2,Llama 3.2 3B Instruct,few-shot,0,cherry tomato,cherry tomato,0
52,2,Llama 3.2 3B Instruct,few-shot,0,parmesan cheese,parmesan cheese,0
52,2,Llama 3.2 3B Instruct,few-shot,0,parsi,parsley,0
53,3,Llama 3.2 3B Instruct,few-shot,0,ayam,chicken,0
53,3,Llama 3.2 3B Instruct,few-shot,0,beras,rice,0
53,3,Llama 3.2 3B Instruct,few-shot,0,kicap,sauce,0
53,3,Llama 3.2 3B Instruct,few-shot,0,bawang putih,garlic,0
53,3,Llama 3.2 3B Instruct,few-shot,0,halia,ginger,0
53,3,Llama 3.2 3B Instruct,few-shot,0,bawang besar,onion,0
54,4,Llama 3.2 3B Instruct,few-shot,0,yogurt,plain yogurt,0
54,4,Llama 3.2 3B Instruct,few-shot,0,cumi,cucumber,0
54,4,Llama 3.2 3B Instruct,few-shot,0,bawang,onion,0
54,4,Llama 3.2 3B Instruct,few-shot,0,daun bawang,parsley,0
54,4,Llama 3.2 3B Instruct,few-shot,0,cili flake,cayenne pepper,0
54,4,Llama 3.2 3B Instruct,few-shot,0,garam,salt,0
54,4,Llama 3.2 3B Instruct,few-shot,0,pepper,black pepper,0
54,4,Llama 3.2 3B Instruct,few-shot,0,garlic powder,garlic powder,0
54,4,Llama 3.2 3B Instruct,few-shot,0,cream cheese,cream cheese,0
54,4,Llama 3.2 3B Instruct,few-shot,0,kentang,potato,1
56,6,Llama 3.2 3B Instruct,few-shot,0,kentang,potato,0
56,6,Llama 3.2 3B Instruct,few-shot,0,garis,garlic,0
56,6,Llama 3.2 3B Instruct,few-shot,0,telaga,pepper,0
57,7,Llama 3.2 3B Instruct,few-shot,0,kacang kuda,chickpeas,0
57,7,Llama 3.2 3B Instruct,few-shot,0,bawang putih,garlic,0
57,7,Llama 3.2 3B Instruct,few-shot,0,jus lemon,lemon juice,0
57,7,Llama 3.2 3B Instruct,few-shot,0,tahini,tahini,1
57,7,Llama 3.2 3B Instruct,few-shot,0,biskut,bread,1
58,8,Llama 3.2 3B Instruct,few-shot,0,ikan,shark,1
58,8,Llama 3.2 3B Instruct,few-shot,0,tomato,diced tomatoes,0
58,8,Llama 3.2 3B Instruct,few-shot,0,bawang,onion,0
58,8,Llama 3.2 3B Instruct,few-shot,0,lada,black pepper,0
58,8,Llama 3.2 3B Instruct,few-shot,0,tumian,parsley,0
59,9,Llama 3.2 3B Instruct,few-shot,0,salmon,salmon,0
59,9,Llama 3.2 3B Instruct,few-shot,0,kacau,salt and pepper,0
59,9,Llama 3.2 3B Instruct,few-shot,0,crem cheese,cream cheese,0
59,9,Llama 3.2 3B Instruct,few-shot,0,kewpie mayo,kewpie mayo,0
59,9,Llama 3.2 3B Instruct,few-shot,0,sriracha,sriracha sauce,0
59,9,Llama 3.2 3B Instruct,few-shot,0,daun bawang,green onion,1
59,9,Llama 3.2 3B Instruct,few-shot,0,nasi,rice,0
60,10,Llama 3.2 3B Instruct,few-shot,0,tepung,flour,0
60,10,Llama 3.2 3B Instruct,few-shot,0,air,water,0
60,10,Llama 3.2 3B Instruct,few-shot,0,seaweed,wheat seaweed sheet,0
60,10,Llama 3.2 3B Instruct,few-shot,0,japchae,dried glass noodle,1
60,10,Llama 3.2 3B Instruct,few-shot,0,minyak,cooking oil,1
60,10,Llama 3.2 3B Instruct,few-shot,0,sweet chili sauce,sweet chili sauce,1
62,12,Llama 3.2 3B Instruct,few-shot,0,ayam,chicken,0
62,12,Llama 3.2 3B Instruct,few-shot,0,minyak,cooking oil,1
62,12,Llama 3.2 3B Instruct,few-shot,0,bawang,onion,0
62,12,Llama 3.2 3B Instruct,few-shot,0,wajik,carrot,0
62,12,Llama 3.2 3B Instruct,few-shot,0,sela,celery,0
62,12,Llama 3.2 3B Instruct,few-shot,0,bawang putih,garlic,0
62,12,Llama 3.2 3B Instruct,few-shot,0,tepu,all-purpose flour,0
62,12,Llama 3.2 3B Instruct,few-shot,0,saringan,salt,0
63,13,Llama 3.2 3B Instruct,few-shot,0,daging syabu-syabu,beef,1
63,13,Llama 3.2 3B Instruct,few-shot,0,sos siram,soy sauce,1
63,13,Llama 3.2 3B Instruct,few-shot,0,minyak bijan,peanut oil,1
63,13,Llama 3.2 3B Instruct,few-shot,0,bawang putih,garlic,1
63,13,Llama 3.2 3B Instruct,few-shot,0,bawang hollanda,onion,1
63,13,Llama 3.2 3B Instruct,few-shot,0,keju,cheese,1
64,14,Llama 3.2 3B Instruct,few-shot,0,mee,noodles,1
64,14,Llama 3.2 3B Instruct,few-shot,0,cili padi merah,red chili peppers,1
64,14,Llama 3.2 3B Instruct,few-shot,0,bawang putih,garlic,0
64,14,Llama 3.2 3B Instruct,few-shot,0,daun ketumbar,lemongrass,1
