transcript_id,model_name,technique_name,rag_enabled,json_valid,total_calories,total_protein_g,total_fat_g,total_carbohydrate_g,ingredient_count
1,Gemma-SEA-LION v4 4B,chain-of-thought,false,true,350.0,40.0,20.0,15.0,10
1,Gemma-SEA-LION v4 4B,few-shot,false,true,248.0,42.0,16.0,0.0,0
1,Gemma-SEA-LION v4 4B,structured-output,false,true,250.0,30.0,14.0,0.0,0
1,Gemma-SEA-LION v4 4B,zero-shot,false,true,300.0,30.0,20.0,10.0,9
1,Llama 3.2 3B Instruct,chain-of-thought,false,true,680.0,60.0,28.0,50.0,5
1,Llama 3.2 3B Instruct,few-shot,false,true,300.0,25.0,25.0,5.0,2
1,Llama 3.2 3B Instruct,structured-output,false,true,100.0,2.0,0.5,24.0,0
1,Llama 3.2 3B Instruct,zero-shot,false,true,165.0,31.0,11.6,0.0,0
1,MedGemma 4B,chain-of-thought,false,true,350.0,35.0,8.0,0.0,0
1,MedGemma 4B,few-shot,false,true,350.0,28.0,21.0,3.0,0
1,MedGemma 4B,structured-output,false,true,350.0,30.0,20.0,15.0,0
1,MedGemma 4B,zero-shot,false,true,350.0,30.0,20.0,15.0,0
1,Phi-4-mini 3.8B Instruct,chain-of-thought,false,false,,,,,0
1,Phi-4-mini 3.8B Instruct,few-shot,false,false,,,,,0
1,Phi-4-mini 3.8B Instruct,structured-output,false,false,,,,,0
1,Phi-4-mini 3.8B Instruct,zero-shot,false,true,0.0,7.0,7.0,35.0,0
1,Qwen 2.5 3B Instruct,chain-of-thought,false,true,1075.0,42.6,76.4,90.0,10
1,Qwen 2.5 3B Instruct,few-shot,false,true,286.0,26.0,14.0,1.0,0
1,Qwen 2.5 3B Instruct,structured-output,false,true,0.0,0.0,0.0,0.0,10
1,Qwen 2.5 3B Instruct,zero-shot,false,true,200.0,35.0,8.0,1.0,0
2,Gemma-SEA-LION v4 4B,chain-of-thought,false,true,40.0,0.5,0.5,10.0,0
2,Gemma-SEA-LION v4 4B,few-shot,false,true,230.0,23.0,16.0,0.0,0
2,Gemma-SEA-LION v4 4B,structured-output,false,true,15.0,0.5,0.5,3.0,0
2,Gemma-SEA-LION v4 4B,zero-shot,false,true,20.0,1.0,1.5,8.0,0
